epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time
1,5.021611278876662,0.0892156862745098,4.535048121593708,0.10278093999024232,0.01,69.1665461063385
2,3.5618171831592917,0.246078431372549,3.827500045516413,0.2525613920962758,0.01,68.101069688797
3,2.4805558207444847,0.4068627450980392,3.044906257390356,0.3553423320865181,0.01,65.79633069038391
4,1.7996556032449007,0.5176470588235295,2.6384840751417586,0.4517807773621727,0.01,63.939656496047974
5,1.1740644024685025,0.6852941176470588,2.2913478425574603,0.5348837209302325,0.01,62.66553044319153
6,0.6917476844391786,0.8019607843137255,2.6930448723857863,0.476825500081314,0.01,65.70064067840576
7,0.45238936800160445,0.8607843137254902,2.702395544644953,0.49357619125060986,0.01,66.3022108078003
8,0.4400653741104179,0.8647058823529412,2.31744052971426,0.5474060822898033,0.01,64.39196157455444
9,0.28828338568746403,0.9156862745098039,2.007805428684665,0.5960318751016426,0.01,65.2909152507782
10,0.2411645752226832,0.9362745098039216,2.0926175625835945,0.5783054155147178,0.01,63.89684844017029
11,0.16676980450938572,0.953921568627451,1.8255410691008613,0.631484794275492,0.01,64.1507077217102
12,0.06297157600556602,0.9872549019607844,1.5015945772060686,0.6749064888599773,0.01,69.5924723148346
13,0.05779303039162187,0.9833333333333333,1.554764938606912,0.6583184257602862,0.01,68.7028124332428
14,0.04716951273439918,0.9862745098039216,1.6046431949290725,0.6713286713286714,0.01,63.88304686546326
15,0.02806504991917791,0.9950980392156863,1.3083914249840194,0.6996259554399089,0.01,64.37334895133972
16,0.015675474234171816,0.9970588235294118,1.5024706763792226,0.6700276467718328,0.01,69.29954481124878
17,0.011738780568407492,0.9980392156862745,1.3779141867933513,0.6991380712310945,0.01,67.94518709182739
18,0.007842615449135337,1.0,1.3959522916250928,0.7025532606927956,0.01,68.05319356918335
19,0.003940841649040294,1.0,1.3139179303461799,0.7134493413563181,0.01,66.48616027832031
20,0.007288652972192722,0.9990196078431373,1.347812242644174,0.7056431940152871,0.01,64.11852955818176
