epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time
1,4.3461902141571045,0.08333333333333333,3.2369633357298544,0.3785981460400065,0.001,39.029536485672
2,2.687209921889007,0.5343137254901961,2.1498536355357487,0.5958692470320377,0.001,27.41221284866333
3,1.576080339960754,0.8303921568627451,1.471186798082856,0.7350788746137583,0.001,27.474504709243774
4,0.8868250763043761,0.9411764705882353,1.1560754309395045,0.7926492112538625,0.001,27.3988938331604
5,0.5394220763118938,0.9745098039215686,0.9237987022817871,0.8276142462188973,0.001,27.483442783355713
6,0.35760619945358485,0.9931372549019608,0.8520367568823835,0.8308668076109936,0.001,27.53056049346924
7,0.22279462567530572,0.9990196078431373,0.7877834813671746,0.8432265409009595,0.001,27.405633449554443
8,0.1632064967416227,0.9990196078431373,0.770241402495914,0.8440396812489835,0.001,28.031904935836792
9,0.12804177796351723,0.9990196078431373,0.7438270915136158,0.8402992356480729,0.001,27.669642210006714
10,0.10913062168401666,0.9980392156862745,0.7198155502303079,0.8443649373881932,0.001,52.438026428222656
11,0.09125753596890718,1.0,0.7217019249134672,0.8430639128313547,0.001,29.944424390792847
12,0.07345444697421044,1.0,0.6820232436655547,0.8468043584322654,0.001,29.150916576385498
13,0.0655308839486679,1.0,0.6556221844285717,0.855098389982111,0.001,28.271938800811768
14,0.05956343543948606,1.0,0.6883418240017647,0.8437144251097739,0.001,27.888746738433838
15,0.04981070239591645,1.0,0.6335019731363681,0.8521710847292243,0.001,27.535624980926514
16,0.04422028439148562,1.0,0.6427998984930734,0.8539599934948772,0.001,27.88676118850708
17,0.04007578691380331,1.0,0.6508126941731173,0.8500569198243617,0.001,28.21476411819458
18,0.041403669922146946,1.0,0.6748934959731172,0.8451780777362172,0.001,28.032606840133667
19,0.043510910487384535,1.0,0.6329282766604076,0.8562367864693446,0.001,28.10516381263733
20,0.03543564922438236,1.0,0.6109012884108449,0.8581883233046024,0.001,27.978510856628418
21,0.03643905416538473,0.9990196078431373,0.6173323937955159,0.8544478777036917,0.001,28.45563054084778
22,0.0270001040698844,1.0,0.6481479283995074,0.8534721092860628,0.001,27.701671361923218
23,0.02787880571122514,1.0,0.6401881183938442,0.8526589689380387,0.001,28.0637845993042
24,0.026875335977820214,1.0,0.6304762435584088,0.856724670678159,0.001,29.59605360031128
25,0.02772781005478464,1.0,0.5996962190313223,0.8598146040006505,0.001,29.94932746887207
26,0.023802331947081257,1.0,0.6356866942224806,0.8500569198243617,0.001,28.664165496826172
27,0.02485912517659017,1.0,0.6021361328801927,0.8598146040006505,0.001,27.75830388069153
28,0.020064608273969498,1.0,0.604054885804084,0.8570499268173687,0.001,28.995866537094116
29,0.02152097823272925,1.0,0.6058629533013763,0.8607903724182794,0.001,34.96734809875488
30,0.024038063773332397,1.0,0.6176411361842004,0.853309481216458,0.001,54.32534623146057
