epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time
1,4.439958605915308,0.05784313725490196,3.4171214874916176,0.32867132867132864,0.001,36.2314510345459
2,3.073978681117296,0.3872549019607843,2.2310847178154827,0.572938689217759,0.001,35.92968797683716
3,2.0823675114661455,0.6323529411764706,1.5108041955141158,0.7054805659456822,0.001,35.56861209869385
4,1.4362575793638825,0.7774509803921569,1.1563062725348885,0.7511790535046349,0.001,36.50430655479431
5,1.0475678858347237,0.8519607843137255,0.9709254163420324,0.7910229305578143,0.001,35.833942890167236
6,0.7412624452263117,0.9019607843137255,0.8444417537624799,0.8098877866319727,0.001,36.06977295875549
7,0.5740961895789951,0.9372549019607843,0.7328810994483056,0.8303789234021792,0.001,36.06071329116821
8,0.46162640571128577,0.953921568627451,0.668833751136362,0.8472922426410798,0.001,36.047370195388794
9,0.3790409718058072,0.9666666666666667,0.6133847842310883,0.8560741583997398,0.001,35.69264054298401
10,0.32298955629812554,0.9676470588235294,0.5842445860150596,0.8591640917222313,0.001,36.15453886985779
11,0.22805120068369433,0.9823529411764705,0.5842648304726986,0.8583509513742071,0.001,35.730957984924316
12,0.21908455796074122,0.9833333333333333,0.5482351003317356,0.8656692145064238,0.001,35.791221141815186
13,0.19469825076521374,0.9833333333333333,0.5293340295116007,0.8695722881769393,0.001,36.17353296279907
14,0.14563505655678455,0.9950980392156863,0.547620025217401,0.8642055618799804,0.001,36.42800450325012
15,0.12650487510836683,0.9950980392156863,0.508871537061912,0.8749390144738982,0.001,35.70022630691528
16,0.11355507561529521,0.9990196078431373,0.5290135822212491,0.8700601723857537,0.001,36.14562463760376
17,0.12323954372550361,0.9931372549019608,0.5052879705468933,0.8757521548219223,0.001,35.91745662689209
18,0.12446161100524478,0.9911764705882353,0.4979873782996287,0.8772158074483656,0.001,36.04082989692688
19,0.09357441584870685,0.9950980392156863,0.486838387218528,0.8780289477963896,0.001,36.976046562194824
20,0.09040578984422609,0.9980392156862745,0.45325136837034496,0.8858350951374208,0.001,37.410428047180176
21,0.0885543560871156,0.9980392156862745,0.46591409176278625,0.8804683688404619,0.001,39.74870324134827
22,0.08309670424205251,0.996078431372549,0.4677192454291562,0.8806309969100666,0.001,39.42410612106323
23,0.06309845518990187,0.9990196078431373,0.4771481852453388,0.8827451618149292,0.001,38.13436484336853
24,0.07052832801127806,0.9970588235294118,0.4699327467620719,0.8829077898845341,0.001,37.71970081329346
25,0.06971054470341187,0.9970588235294118,0.4776641141176066,0.8845340705805822,0.001,35.721715688705444
