epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time
1,4.360776703804731,0.08725490196078431,3.2544633525245676,0.3974630021141649,0.001,33.84328603744507
2,2.6700507029891014,0.5588235294117647,2.09445590710919,0.6225402504472272,0.001,33.732173681259155
3,1.5354528911411762,0.8235294117647058,1.4409799621439259,0.7495527728085868,0.001,34.14207077026367
4,0.876564284786582,0.9470588235294117,1.1134980656642597,0.785981460400065,0.001,33.95712924003601
5,0.5293848768342286,0.9833333333333333,0.9480820752471996,0.8206212392258904,0.001,33.84476971626282
6,0.325282885809429,0.9950980392156863,0.8596991665578981,0.8295657830541552,0.001,33.59471154212952
7,0.22353871946688741,0.9990196078431373,0.7798142438658764,0.8388355830216295,0.001,34.029723167419434
8,0.16418444557348266,1.0,0.76924778873486,0.8383476988128151,0.001,34.222660303115845
9,0.12433194133336656,0.9990196078431373,0.7201651731598032,0.8411123759960969,0.001,33.71493172645569
10,0.11837611548253335,1.0,0.718726695098603,0.8412750040657018,0.001,33.69248056411743
11,0.08018551740678959,1.0,0.720565378254156,0.8429012847617499,0.001,33.879796743392944
12,0.07446181007253472,1.0,0.6735798483732628,0.846316474223451,0.001,33.65941643714905
13,0.07043720749788918,0.9990196078431373,0.6524823522243663,0.8531468531468531,0.001,33.44054079055786
14,0.05635967447597068,1.0,0.6807608894376455,0.8476174987802895,0.001,34.008522033691406
15,0.047304393781814724,1.0,0.6522097257971133,0.8534721092860628,0.001,33.97755789756775
16,0.04278488927229773,1.0,0.6534016964559277,0.8492437794763377,0.001,34.26801037788391
17,0.043952737272775266,1.0,0.6550849113891614,0.8505448040331761,0.001,34.42270755767822
18,0.04303864324174356,0.9990196078431373,0.6216818371443115,0.8549357619125061,0.001,34.64745783805847
19,0.03530784622853389,1.0,0.6637047137586722,0.8482680110587087,0.001,33.97481894493103
20,0.034929149405797943,1.0,0.6348986363829258,0.8526589689380387,0.001,33.93418741226196
21,0.03444032934930874,1.0,0.638312344678895,0.8476174987802895,0.001,33.53648281097412
22,0.03401860846497584,1.0,0.6209908600243218,0.8570499268173687,0.001,33.504770278930664
23,0.02763602432241896,1.0,0.6188831764206131,0.853309481216458,0.001,33.687928438186646
24,0.027153925024322234,1.0,0.6262573356944849,0.8562367864693446,0.001,33.823867082595825
25,0.030187313626811374,1.0,0.6292714651256814,0.8554236461213205,0.001,33.88768672943115
26,0.022996066207269905,1.0,0.6138342250412832,0.8542852496340868,0.001,34.149493932724
27,0.02226961761698476,1.0,0.6058224426229425,0.8536347373556676,0.001,33.777358055114746
28,0.023434689435816836,1.0,0.5887410611296326,0.8565620426085543,0.001,34.32543182373047
29,0.019019241768546635,1.0,0.6188384188942839,0.8531468531468531,0.001,40.34618639945984
30,0.02197325664019445,1.0,0.5992390089700125,0.8552610180517157,0.001,65.71265721321106
31,0.024232605755969416,0.9990196078431373,0.6260756897093348,0.8554236461213205,0.001,68.54463696479797
32,0.022336280584568158,1.0,0.6099990977244439,0.8565620426085543,0.001,68.1709361076355
33,0.019898488988474128,1.0,0.6299757532693957,0.8526589689380387,0.001,65.59686279296875
