epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time
1,4.7283339612185955,0.004901960784313725,4.556245608199557,0.03220035778175313,0.001,36.174662351608276
2,4.448365390300751,0.030392156862745098,4.33567444571283,0.050414701577492275,0.001,35.924466133117676
3,4.138729436323047,0.056862745098039215,4.182059011665525,0.07578468043584323,0.001,35.896016120910645
4,3.927312256768346,0.07745098039215687,3.940815988070633,0.09920312245893641,0.001,36.30481719970703
5,3.7520284559577703,0.08823529411764706,3.8388473345027325,0.12441047324768255,0.001,36.17613768577576
6,3.588934987783432,0.11666666666666667,3.939641271362999,0.11123759960969264,0.001,35.6271870136261
7,3.4824423752725124,0.13529411764705881,3.7141460486444293,0.13953488372093023,0.001,35.758999824523926
8,3.3547272756695747,0.1627450980392157,3.6227678008600392,0.1592128801431127,0.001,36.20402193069458
9,3.2656334843486547,0.18529411764705883,3.7172825098502775,0.14018539599934948,0.001,35.954692125320435
10,3.162110559642315,0.19411764705882353,3.610907440804071,0.17547568710359407,0.001,36.01636362075806
11,3.0154192596673965,0.22941176470588234,3.5483388655052384,0.18116766953976257,0.001,36.1898398399353
12,2.861933210864663,0.28921568627450983,3.4224915917386314,0.2097902097902098,0.001,36.20263743400574
13,2.749572009779513,0.30196078431372547,3.5302254653721077,0.20718816067653276,0.001,35.80003499984741
14,2.677221190184355,0.3196078431372549,3.76843651175809,0.19645470808261506,0.001,36.07881784439087
15,2.541862794198096,0.3519607843137255,3.513392713400493,0.21792161327045048,0.001,36.423176288604736
16,2.4581048116087914,0.3480392156862745,3.3791142019827127,0.23971377459749552,0.001,35.8906626701355
17,2.3099953588098288,0.4107843137254902,3.23072676868293,0.2465441535208977,0.001,36.16388177871704
18,2.2623311886563897,0.42058823529411765,3.530558855484769,0.23076923076923078,0.001,36.36382484436035
19,2.09165940573439,0.46176470588235297,3.383208209249071,0.2522361359570662,0.001,36.00846076011658
20,2.0300032030791044,0.49411764705882355,3.2965733439350315,0.26654740608228983,0.001,35.79239273071289
21,1.85555785195902,0.5225490196078432,3.3130276657844395,0.2714262481704342,0.001,35.9071364402771
22,1.8047467144206166,0.5362745098039216,3.3378121732347807,0.26703529029110423,0.001,35.754297494888306
