epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time
1,4.354992775246501,0.09901960784313725,3.2356239466580363,0.39697511790535045,0.001,36.40779781341553
2,2.7823822433128953,0.5029411764705882,2.052659001007618,0.6186371767767117,0.001,35.89344668388367
3,1.7314331498928368,0.7480392156862745,1.3808410640355437,0.7458123272076761,0.001,36.053794860839844
4,1.1052861767821014,0.8803921568627451,1.031577691920247,0.7931370954626769,0.001,36.28888750076294
5,0.7490943216253072,0.9274509803921569,0.8698293227382653,0.823548544478777,0.001,36.367796421051025
6,0.5137203552294523,0.961764705882353,0.7910296747870307,0.8302162953325743,0.001,36.28714060783386
7,0.3876398205757141,0.9735294117647059,0.6777495800509021,0.8482680110587087,0.001,36.24532461166382
8,0.2795815881690942,0.9921568627450981,0.6425429376563413,0.8511953163115954,0.001,36.25368881225586
9,0.22178887500194833,0.9931372549019608,0.5806436505815394,0.865506586436819,0.001,36.28217959403992
10,0.1976234164321795,0.9950980392156863,0.5627659864018832,0.8682712636201009,0.001,35.838780641555786
11,0.14195032085990533,0.9980392156862745,0.5571264783813653,0.8695722881769393,0.001,35.83286714553833
12,0.1308043840690516,0.9970588235294118,0.5289223778964733,0.8739632460562693,0.001,36.06295561790466
13,0.11975591044756584,0.996078431372549,0.4912389687685446,0.8858350951374208,0.001,36.06779623031616
14,0.08952849960769527,1.0,0.5131102382108237,0.8806309969100666,0.001,36.10489559173584
15,0.07915735417918768,1.0,0.48155316862432707,0.8846966986501871,0.001,36.191094398498535
16,0.0649460368513246,1.0,0.49449638930103657,0.8775410635875752,0.001,35.91160035133362
17,0.07189416827168316,1.0,0.49478649247500694,0.8764026671003415,0.001,35.52588105201721
18,0.06611750229785684,0.9980392156862745,0.4671032082141705,0.8838835583021629,0.001,35.90124320983887
19,0.05407000040577259,1.0,0.4987556489569169,0.8764026671003415,0.001,36.415761947631836
20,0.05490472714882344,0.9990196078431373,0.46934668040986965,0.8848593267197918,0.001,36.45486116409302
21,0.05189772884477861,0.9990196078431373,0.4711773889623349,0.8843714425109774,0.001,36.39477181434631
22,0.055115910290624015,0.9980392156862745,0.4647867656780285,0.8850219547893966,0.001,35.676260471343994
23,0.0412787346431287,1.0,0.4560401659901375,0.8858350951374208,0.001,36.40252089500427
24,0.0443224405971705,0.9990196078431373,0.4731200752942467,0.8822572776061148,0.001,35.857322216033936
25,0.04507753919460811,0.9990196078431373,0.46898498113991655,0.8855098389982111,0.001,36.2503616809845
26,0.035459387516311835,1.0,0.4550640856214679,0.8876240039030737,0.001,35.8556444644928
27,0.03305007356539136,1.0,0.4445937161096714,0.8881118881118881,0.001,36.309926986694336
28,0.038851583121868316,0.9990196078431373,0.42810834814753185,0.8918523337127988,0.001,36.5184850692749
29,0.030905249914212618,1.0,0.4571540430795991,0.8840461863717678,0.001,35.877840757369995
30,0.034705694575677626,0.9990196078431373,0.4329363370139542,0.8899007968775411,0.001,35.5617516040802
31,0.03429009210958611,1.0,0.45004683632848835,0.8859977232070255,0.001,35.778984785079956
32,0.032642238584230654,1.0,0.4448942064008417,0.8897381688079362,0.001,36.37598776817322
33,0.02911518262408208,1.0,0.46140646825485343,0.8832330460237438,0.001,36.16524934768677
